point_id,survey_no,latitude,longitude,accuracy_m
GNSS_00064,207/4,11.0031006,76.9540682,0.029
GNSS_00065,208/1,11.0029869,76.954406,0.018
GNSS_00066,208/1,11.0029984,76.9545755,0.032
GNSS_00067,208/1,11.0029866,76.9547169,0.028
GNSS_00068,208/1,11.0031228,76.9547075,0.035
GNSS_00069,208/1,11.0032641,76.9546829,0.036
GNSS_00070,208/1,11.0032651,76.9545669,0.035
GNSS_00071,208/1,11.0032607,76.9544209,0.031
GNSS_00072,208/1,11.003142,76.954399,0.031
GNSS_00073,209/2,11.0029866,76.9547169,0.018
GNSS_00074,209/2,11.0029981,76.9548773,0.037
GNSS_00075,209/2,11.0029859,76.9550267,0.032
GNSS_00076,209/2,11.0031077,76.9550329,0.026
GNSS_00077,209/2,11.0032051,76.9550559,0.032
GNSS_00078,209/2,11.0032185,76.9548567,0.037
GNSS_00079,209/2,11.0032641,76.9546829,0.03
GNSS_00080,209/2,11.0031228,76.9547075,0.043
GNSS_00081,210/3,11.0029859,76.9550267,0.022
GNSS_00082,210/3,11.003002,76.9551905,0.023
GNSS_00083,210/3,11.0029847,76.9553354,0.032
GNSS_00084,210/3,11.0031374,76.9553468,0.04
GNSS_00085,210/3,11.0032718,76.9553629,0.025
GNSS_00086,210/3,11.0032349,76.9552224,0.029
GNSS_00087,210/3,11.0032051,76.9550559,0.028
GNSS_00088,210/3,11.0031077,76.9550329,0.029
GNSS_00089,211/4,11.0029847,76.9553354,0.026
GNSS_00090,211/4,11.0029833,76.9554908,0.04
GNSS_00091,211/4,11.0029832,76.9556432,0.02
GNSS_00092,211/4,11.0030833,76.9556429,0.045
GNSS_00093,211/4,11.0032162,76.9556183,0.036
GNSS_00094,211/4,11.0032314,76.9554726,0.019
GNSS_00095,211/4,11.0032718,76.9553629,0.029
GNSS_00096,211/4,11.0031374,76.9553468,0.028
GNSS_00097,212/1,11.0029832,76.9556432,0.023
GNSS_00098,212/1,11.0029949,76.9557873,0.031
GNSS_00099,212/1,11.0029813,76.9559501,0.03
GNSS_00100,212/1,11.003111,76.9559699,0.039
GNSS_00101,212/1,11.0032319,76.9559923,0.033
GNSS_00102,212/1,11.0032103,76.9558252,0.041
GNSS_00103,212/1,11.0032162,76.9556183,0.021
GNSS_00104,212/1,11.0030833,76.9556429,0.032
GNSS_00105,213/2,11.0029813,76.9559501,0.037
GNSS_00106,213/2,11.0029711,76.9561187,0.033
GNSS_00107,213/2,11.0029793,76.9562565,0.025
GNSS_00108,213/2,11.00308,76.9562427,0.043
GNSS_00109,213/2,11.0032059,76.9562031,0.036
GNSS_00110,213/2,11.003209,76.9561094,0.026
GNSS_00111,213/2,11.0032319,76.9559923,0.033
GNSS_00112,213/2,11.003111,76.9559699,0.036
GNSS_00113,214/3,11.0029793,76.9562565,0.044
GNSS_00114,214/3,11.0029612,76.9564046,0.034
GNSS_00115,214/3,11.002977,76.9565625,0.038
GNSS_00116,214/3,11.0031305,76.9565714,0.037
GNSS_00117,214/3,11.0032538,76.956592,0.029
GNSS_00118,214/3,11.0032428,76.9563952,0.02
GNSS_00119,214/3,11.0032059,76.9562031,0.022
GNSS_00120,214/3,11.00308,76.9562427,0.024
GNSS_00121,215/4,11.002977,76.9565625,0.028
GNSS_00122,215/4,11.0029866,76.9567038,0.038
GNSS_00123,215/4,11.0029747,76.9568683,0.039
GNSS_00124,215/4,11.0031371,76.956863,0.037
GNSS_00125,215/4,11.003264,76.9568935,0.02
GNSS_00126,215/4,11.0032629,76.9567476,0.038
GNSS_00127,215/4,11.0032538,76.956592,0.027
GNSS_00128,215/4,11.0031305,76.9565714,0.021
GNSS_00129,216/1,11.0029747,76.9568683,0.039
GNSS_00130,216/1,11.0029655,76.9570294,0.044
GNSS_00131,216/1,11.0029725,76.9571742,0.029
GNSS_00132,216/1,11.0031395,76.9571718,0.039
GNSS_00133,216/1,11.0032861,76.9571701,0.019
GNSS_00134,216/1,11.0032647,76.95702,0.025
GNSS_00135,216/1,11.003264,76.9568935,0.045
GNSS_00136,216/1,11.0031371,76.956863,0.031
GNSS_00137,217/2,11.0029725,76.9571742,0.023
GNSS_00138,217/2,11.0029793,76.9573106,0.034
GNSS_00139,217/2,11.0029703,76.9574804,0.028
GNSS_00140,217/2,11.003118,76.9574698,0.039
GNSS_00141,217/2,11.0032426,76.9574598,0.026
GNSS_00142,217/2,11.003249,76.9573018,0.025
GNSS_00143,217/2,11.0032861,76.9571701,0.02
GNSS_00144,217/2,11.0031395,76.9571718,0.025
GNSS_00145,218/3,11.0029703,76.9574804,0.038
GNSS_00146,218/3,11.0029746,76.9576414,0.027
GNSS_00147,218/3,11.0029684,76.9577871,0.021
GNSS_00148,218/3,11.0031003,76.9578092,0.018
GNSS_00149,218/3,11.0032477,76.9578173,0.026
GNSS_00150,218/3,11.0032376,76.9576423,0.028
GNSS_00151,218/3,11.0032426,76.9574598,0.025
GNSS_00152,218/3,11.003118,76.9574698,0.022
GNSS_00153,219/4,11.0029684,76.9577871,0.032
GNSS_00154,219/4,11.0029575,76.9579244,0.021
GNSS_00155,219/4,11.0029667,76.9580945,0.02
GNSS_00156,219/4,11.0030997,76.9580952,0.033
GNSS_00157,219/4,11.0032348,76.9580898,0.034
GNSS_00158,219/4,11.0032396,76.9579617,0.039
GNSS_00159,219/4,11.0032477,76.9578173,0.041
GNSS_00160,219/4,11.0031003,76.9578092,0.018
GNSS_00161,220/1,11.0032487,76.951892,0.042
GNSS_00162,220/1,11.0032236,76.9520594,0.042
GNSS_00163,220/1,11.0032039,76.9522244,0.044
GNSS_00164,220/1,11.0033525,76.952231,0.033
GNSS_00165,220/1,11.0035312,76.9522558,0.023
GNSS_00166,220/1,11.0035421,76.9520843,0.028
GNSS_00167,220/1,11.0035218,76.9518998,0.022
GNSS_00168,220/1,11.0033786,76.9519049,0.026
GNSS_00169,221/2,11.0032039,76.9522244,0.025
GNSS_00170,221/2,11.0032064,76.9523708,0.026
GNSS_00171,221/2,11.0032254,76.9525008,0.039
GNSS_00172,221/2,11.0033631,76.9525286,0.028
GNSS_00173,221/2,11.00348,76.9525538,0.043
GNSS_00174,221/2,11.0035203,76.9524108,0.037
GNSS_00175,221/2,11.0035312,76.9522558,0.031
GNSS_00176,221/2,11.0033525,76.952231,0.035
GNSS_00177,222/3,11.0032254,76.9525008,0.044
GNSS_00178,222/3,11.0032349,76.9526716,0.027
GNSS_00179,222/3,11.0032719,76.9528673,0.035
GNSS_00180,222/3,11.0033974,76.9528409,0.04
GNSS_00181,222/3,11.0035052,76.9528157,0.027
GNSS_00182,222/3,11.0034857,76.9526713,0.027
GNSS_00183,222/3,11.00348,76.9525538,0.04
GNSS_00184,222/3,11.0033631,76.9525286,0.041
GNSS_00185,223/4,11.0032719,76.9528673,0.044
GNSS_00186,223/4,11.0032331,76.9530206,0.023
GNSS_00187,223/4,11.0032147,76.9531993,0.026
GNSS_00188,223/4,11.0033416,76.953148,0.044
GNSS_00189,223/4,11.0035002,76.9531127,0.044
GNSS_00190,223/4,11.0034892,76.9529557,0.026
GNSS_00191,223/4,11.0035052,76.9528157,0.037
GNSS_00192,223/4,11.0033974,76.9528409,0.031
GNSS_00193,224/1,11.0032147,76.9531993,0.026
GNSS_00194,224/1,11.0032132,76.9533495,0.039
GNSS_00195,224/1,11.0032099,76.9534613,0.028
GNSS_00196,224/1,11.0033381,76.9534324,0.043
GNSS_00197,224/1,11.0035048,76.9534271,0.023
GNSS_00198,224/1,11.0035025,76.9532877,0.045
GNSS_00199,224/1,11.0035002,76.9531127,0.023
GNSS_00200,224/1,11.0033416,76.953148,0.039
GNSS_00201,225/2,11.0032099,76.9534613,0.037
GNSS_00202,225/2,11.0032238,76.9535941,0.03
GNSS_00203,225/2,11.0032574,76.9537516,0.026
GNSS_00204,225/2,11.0033874,76.9537916,0.037
GNSS_00205,225/2,11.0035131,76.9537968,0.04
GNSS_00206,225/2,11.0035065,76.9535934,0.039
GNSS_00207,225/2,11.0035048,76.9534271,0.029
GNSS_00208,225/2,11.0033381,76.9534324,0.031
GNSS_00209,226/3,11.0032574,76.9537516,0.022
GNSS_00210,226/3,11.003234,76.9538982,0.029
GNSS_00211,226/3,11.003227,76.954042,0.028
GNSS_00212,226/3,11.0033616,76.9540732,0.03
GNSS_00213,226/3,11.003497,76.9540774,0.034
GNSS_00214,226/3,11.0035217,76.9539206,0.034
GNSS_00215,226/3,11.0035131,76.9537968,0.032
GNSS_00216,226/3,11.0033874,76.9537916,0.043
GNSS_00217,227/4,11.003227,76.954042,0.044
GNSS_00218,227/4,11.0032304,76.9542394,0.037
GNSS_00219,227/4,11.0032607,76.9544209,0.04
GNSS_00220,227/4,11.0034119,76.9543967,0.034
GNSS_00221,227/4,11.0035678,76.9543747,0.043
GNSS_00222,227/4,11.0035504,76.9542442,0.021
GNSS_00223,227/4,11.003497,76.9540774,0.025
GNSS_00224,227/4,11.0033616,76.9540732,0.036
GNSS_00225,228/1,11.0032607,76.9544209,0.045
GNSS_00226,228/1,11.0032651,76.9545669,0.036
GNSS_00227,228/1,11.0032641,76.9546829,0.029
GNSS_00228,228/1,11.0033981,76.9547198,0.038
GNSS_00229,228/1,11.0035339,76.9547244,0.044
GNSS_00230,228/1,11.0035601,76.954531,0.03
GNSS_00231,228/1,11.0035678,76.9543747,0.018
GNSS_00232,228/1,11.0034119,76.9543967,0.025
GNSS_00233,229/2,11.0032641,76.9546829,0.037
GNSS_00234,229/2,11.0032185,76.9548567,0.024
GNSS_00235,229/2,11.0032051,76.9550559,0.028
GNSS_00236,229/2,11.0033796,76.9550018,0.031
GNSS_00237,229/2,11.0035439,76.9549789,0.036
GNSS_00238,229/2,11.0035274,76.9548685,0.037
GNSS_00239,229/2,11.0035339,76.9547244,0.022
GNSS_00240,229/2,11.0033981,76.9547198,0.045
GNSS_00241,230/3,11.0032051,76.9550559,0.044
GNSS_00242,230/3,11.0032349,76.9552224,0.021
GNSS_00243,230/3,11.0032718,76.9553629,0.043
GNSS_00244,230/3,11.0033818,76.955326,0.022
GNSS_00245,230/3,11.0035072,76.9552845,0.026
GNSS_00246,230/3,11.0035109,76.9551314,0.03
GNSS_00247,230/3,11.0035439,76.9549789,0.024
GNSS_00248,230/3,11.0033796,76.9550018,0.031
GNSS_00249,231/4,11.0032718,76.9553629,0.03
GNSS_00250,231/4,11.0032314,76.9554726,0.02
GNSS_00251,231/4,11.0032162,76.9556183,0.019
GNSS_00252,231/4,11.0033777,76.9556595,0.037
GNSS_00253,231/4,11.0035308,76.9556813,0.019
GNSS_00254,231/4,11.0035319,76.9554898,0.027
GNSS_00255,231/4,11.0035072,76.9552845,0.021
GNSS_00256,231/4,11.0033818,76.955326,0.04
GNSS_00257,232/1,11.0032162,76.9556183,0.022
GNSS_00258,232/1,11.0032103,76.9558252,0.033
GNSS_00259,232/1,11.0032319,76.9559923,0.044
GNSS_00260,232/1,11.0033805,76.9559668,0.024
GNSS_00261,232/1,11.0035329,76.9559396,0.029
GNSS_00262,232/1,11.0035479,76.9558019,0.023
GNSS_00263,232/1,11.0035308,76.9556813,0.035
GNSS_00264,232/1,11.0033777,76.9556595,0.03
GNSS_00265,233/2,11.0032319,76.9559923,0.03
GNSS_00266,233/2,11.003209,76.9561094,0.03
GNSS_00267,233/2,11.0032059,76.9562031,0.018
GNSS_00268,233/2,11.0033651,76.956258,0.024
GNSS_00269,233/2,11.0035397,76.9562769,0.026
GNSS_00270,233/2,11.0035296,76.9561064,0.037
GNSS_00271,233/2,11.0035329,76.9559396,0.039
GNSS_00272,233/2,11.0033805,76.9559668,0.034
GNSS_00273,234/3,11.0032059,76.9562031,0.03
GNSS_00274,234/3,11.0032428,76.9563952,0.025
GNSS_00275,234/3,11.0032538,76.956592,0.041
GNSS_00276,234/3,11.0033766,76.9565626,0.032
GNSS_00277,234/3,11.0034639,76.9565156,0.035
GNSS_00278,234/3,11.0035023,76.9563924,0.034
GNSS_00279,234/3,11.0035397,76.9562769,0.035
GNSS_00280,234/3,11.0033651,76.956258,0.034
GNSS_00281,235/4,11.0032538,76.956592,0.023
GNSS_00282,235/4,11.0032629,76.9567476,0.036
GNSS_00283,235/4,11.003264,76.9568935,0.04
GNSS_00284,235/4,11.0033611,76.9568685,0.043
GNSS_00285,235/4,11.0034853,76.9568318,0.034
GNSS_00286,235/4,11.0034714,76.9566754,0.036
GNSS_00287,235/4,11.0034639,76.9565156,0.026
GNSS_00288,235/4,11.0033766,76.9565626,0.024
GNSS_00289,236/1,11.003264,76.9568935,0.032
GNSS_00290,236/1,11.0032647,76.95702,0.029
GNSS_00291,236/1,11.0032861,76.9571701,0.022
GNSS_00292,236/1,11.0034163,76.9571307,0.028
GNSS_00293,236/1,11.0035504,76.9571277,0.023
GNSS_00294,236/1,11.0035223,76.9569901,0.035
GNSS_00295,236/1,11.0034853,76.9568318,0.037
GNSS_00296,236/1,11.0033611,76.9568685,0.035
GNSS_00297,237/2,11.0032861,76.9571701,0.022
GNSS_00298,237/2,11.003249,76.9573018,0.026
GNSS_00299,237/2,11.0032426,76.9574598,0.03
GNSS_00300,237/2,11.0033729,76.9574747,0.019
GNSS_00301,237/2,11.0034869,76.9575092,0.028
GNSS_00302,237/2,11.0035341,76.9573204,0.018
GNSS_00303,237/2,11.0035504,76.9571277,0.022
GNSS_00304,237/2,11.0034163,76.9571307,0.04
GNSS_00305,238/3,11.0032426,76.9574598,0.032
GNSS_00306,238/3,11.0032376,76.9576423,0.031
GNSS_00307,238/3,11.0032477,76.9578173,0.036
GNSS_00308,238/3,11.0033876,76.9578126,0.029
GNSS_00309,238/3,11.003494,76.9577942,0.041
GNSS_00310,238/3,11.0035075,76.9576364,0.031
GNSS_00311,238/3,11.0034869,76.9575092,0.02
GNSS_00312,238/3,11.0033729,76.9574747,0.019
GNSS_00313,239/4,11.0032477,76.9578173,0.033
GNSS_00314,239/4,11.0032396,76.9579617,0.023
GNSS_00315,239/4,11.0032348,76.9580898,0.03
GNSS_00316,239/4,11.0033743,76.9580993,0.038
GNSS_00317,239/4,11.0035038,76.9580876,0.039
GNSS_00318,239/4,11.0035008,76.9579271,0.033
GNSS_00319,239/4,11.003494,76.9577942,0.021
GNSS_00320,239/4,11.0033876,76.9578126,0.021
GNSS_00321,240/1,11.0035218,76.9518998,0.04
GNSS_00322,240/1,11.0035421,76.9520843,0.019
GNSS_00323,240/1,11.0035312,76.9522558,0.037
GNSS_00324,240/1,11.0036444,76.9522732,0.033
GNSS_00325,240/1,11.0037914,76.9522667,0.045
GNSS_00326,240/1,11.0037791,76.9520849,0.021
GNSS_00327,240/1,11.0037943,76.9519063,0.04
GNSS_00328,240/1,11.0036598,76.9519003,0.038
GNSS_00329,241/2,11.0035312,76.9522558,0.025
GNSS_00330,241/2,11.0035203,76.9524108,0.041
GNSS_00331,241/2,11.00348,76.9525538,0.02
GNSS_00332,241/2,11.0036284,76.9525406,0.041
GNSS_00333,241/2,11.0037713,76.952509,0.021
GNSS_00334,241/2,11.0037817,76.9523966,0.04
GNSS_00335,241/2,11.0037914,76.9522667,0.024
GNSS_00336,241/2,11.0036444,76.9522732,0.038
GNSS_00337,242/3,11.00348,76.9525538,0.035
GNSS_00338,242/3,11.0034857,76.9526713,0.022
GNSS_00339,242/3,11.0035052,76.9528157,0.022
GNSS_00340,242/3,11.0036471,76.9528419,0.024
GNSS_00341,242/3,11.0037732,76.9528543,0.024
GNSS_00342,242/3,11.003763,76.952701,0.02
GNSS_00343,242/3,11.0037713,76.952509,0.027
GNSS_00344,242/3,11.0036284,76.9525406,0.026
GNSS_00345,243/4,11.0035052,76.9528157,0.026
GNSS_00346,243/4,11.0034892,76.9529557,0.033
GNSS_00347,243/4,11.0035002,76.9531127,0.044
GNSS_00348,243/4,11.0036515,76.9531403,0.032
GNSS_00349,243/4,11.003836,76.9531684,0.042
GNSS_00350,243/4,11.0038049,76.9530284,0.04
GNSS_00351,243/4,11.0037732,76.9528543,0.022
GNSS_00352,243/4,11.0036471,76.9528419,0.038
GNSS_00353,244/1,11.0035002,76.9531127,0.041
GNSS_00354,244/1,11.0035025,76.9532877,0.021
GNSS_00355,244/1,11.0035048,76.9534271,0.041
GNSS_00356,244/1,11.0036267,76.9534362,0.025
GNSS_00357,244/1,11.0037684,76.9534583,0.037
GNSS_00358,244/1,11.0038126,76.9533043,0.04
GNSS_00359,244/1,11.003836,76.9531684,0.039
GNSS_00360,244/1,11.0036515,76.9531403,0.036
GNSS_00361,245/2,11.0035048,76.9534271,0.035
GNSS_00362,245/2,11.0035065,76.9535934,0.028
GNSS_00363,245/2,11.0035131,76.9537968,0.02
GNSS_00364,245/2,11.0036576,76.9538274,0.039
GNSS_00365,245/2,11.0037961,76.9538334,0.039
GNSS_00366,245/2,11.0037938,76.9536462,0.029
GNSS_00367,245/2,11.0037684,76.9534583,0.038
GNSS_00368,245/2,11.0036267,76.9534362,0.037
GNSS_00369,246/3,11.0035131,76.9537968,0.034
GNSS_00370,246/3,11.0035217,76.9539206,0.041
GNSS_00371,246/3,11.003497,76.9540774,0.041
GNSS_00372,246/3,11.0036139,76.9540659,0.021
GNSS_00373,246/3,11.003749,76.9540419,0.044
GNSS_00374,246/3,11.0037905,76.9539411,0.035
GNSS_00375,246/3,11.0037961,76.9538334,0.037
GNSS_00376,246/3,11.0036576,76.9538274,0.041
GNSS_00377,247/4,11.003497,76.9540774,0.04
GNSS_00378,247/4,11.0035504,76.9542442,0.031
GNSS_00379,247/4,11.0035678,76.9543747,0.027
GNSS_00380,247/4,11.0036923,76.9543619,0.026
GNSS_00381,247/4,11.0038047,76.9543513,0.033
GNSS_00382,247/4,11.0037713,76.9541981,0.022
GNSS_00383,247/4,11.003749,76.9540419,0.041
GNSS_00384,247/4,11.0036139,76.9540659,0.039
GNSS_00385,248/1,11.0035678,76.9543747,0.035
GNSS_00386,248/1,11.0035601,76.954531,0.041
GNSS_00387,248/1,11.0035339,76.9547244,0.018
GNSS_00388,248/1,11.0036635,76.9547318,0.043
GNSS_00389,248/1,11.0037825,76.954733,0.022
GNSS_00390,248/1,11.0037872,76.9545403,0.03
GNSS_00391,248/1,11.0038047,76.9543513,0.045
GNSS_00392,248/1,11.0036923,76.9543619,0.03
GNSS_00393,249/2,11.0035339,76.9547244,0.026
GNSS_00394,249/2,11.0035274,76.9548685,0.042
GNSS_00395,249/2,11.0035439,76.9549789,0.042
GNSS_00396,249/2,11.0036535,76.9549634,0.021
GNSS_00397,249/2,11.0037763,76.954959,0.028
GNSS_00398,249/2,11.0037698,76.9548489,0.02
GNSS_00399,249/2,11.0037825,76.954733,0.036
GNSS_00400,249/2,11.0036635,76.9547318,0.036
GNSS_00401,250/3,11.0035439,76.9549789,0.037
GNSS_00402,250/3,11.0035109,76.9551314,0.024
GNSS_00403,250/3,11.0035072,76.9552845,0.036
GNSS_00404,250/3,11.0036556,76.9553197,0.037
GNSS_00405,250/3,11.0037886,76.9553675,0.018
GNSS_00406,250/3,11.0037898,76.9551731,0.031
GNSS_00407,250/3,11.0037763,76.954959,0.022
GNSS_00408,250/3,11.0036535,76.9549634,0.024
GNSS_00409,251/4,11.0035072,76.9552845,0.027
GNSS_00410,251/4,11.0035319,76.9554898,0.021
GNSS_00411,251/4,11.0035308,76.9556813,0.041
GNSS_00412,251/4,11.0036769,76.9556874,0.037
GNSS_00413,251/4,11.0038191,76.9556705,0.031
GNSS_00414,251/4,11.0038154,76.9555256,0.024
GNSS_00415,251/4,11.0037886,76.9553675,0.02
GNSS_00416,251/4,11.0036556,76.9553197,0.04
GNSS_00417,252/1,11.0035308,76.9556813,0.022
GNSS_00418,252/1,11.0035479,76.9558019,0.039
GNSS_00419,252/1,11.0035329,76.9559396,0.038
GNSS_00420,252/1,11.0036866,76.9558988,0.022
GNSS_00421,252/1,11.003803,76.955871,0.045
GNSS_00422,252/1,11.0038112,76.9557521,0.022
GNSS_00423,252/1,11.0038191,76.9556705,0.032
GNSS_00424,252/1,11.0036769,76.9556874,0.018
GNSS_00425,253/2,11.0035329,76.9559396,0.024
GNSS_00426,253/2,11.0035296,76.9561064,0.038
GNSS_00427,253/2,11.0035397,76.9562769,0.043
GNSS_00428,253/2,11.0036675,76.9562819,0.035
GNSS_00429,253/2,11.0037828,76.9562511,0.03
GNSS_00430,253/2,11.0037908,76.9560762,0.024
GNSS_00431,253/2,11.003803,76.955871,0.042
GNSS_00432,253/2,11.0036866,76.9558988,0.022
GNSS_00433,254/3,11.0035397,76.9562769,0.044
GNSS_00434,254/3,11.0035023,76.9563924,0.026
GNSS_00435,254/3,11.0034639,76.9565156,0.022
GNSS_00436,254/3,11.0036221,76.9565026,0.025
GNSS_00437,254/3,11.0037913,76.9565125,0.02
GNSS_00438,254/3,11.0037838,76.9563908,0.033
GNSS_00439,254/3,11.0037828,76.9562511,0.034
GNSS_00440,254/3,11.0036675,76.9562819,0.034
GNSS_00441,255/4,11.0034639,76.9565156,0.042
GNSS_00442,255/4,11.0034714,76.9566754,0.024
GNSS_00443,255/4,11.0034853,76.9568318,0.034
GNSS_00444,255/4,11.0036156,76.9568271,0.023
GNSS_00445,255/4,11.0037694,76.9568033,0.029
GNSS_00446,255/4,11.0037972,76.9566567,0.035
GNSS_00447,255/4,11.0037913,76.9565125,0.039
GNSS_00448,255/4,11.0036221,76.9565026,0.039
GNSS_00449,256/1,11.0034853,76.9568318,0.031
GNSS_00450,256/1,11.0035223,76.9569901,0.034
GNSS_00451,256/1,11.0035504,76.9571277,0.032
GNSS_00452,256/1,11.0036929,76.9571365,0.044
GNSS_00453,256/1,11.0038196,76.9571497,0.045
GNSS_00454,256/1,11.0038071,76.9569826,0.043
GNSS_00455,256/1,11.0037694,76.9568033,0.022
GNSS_00456,256/1,11.0036156,76.9568271,0.041
GNSS_00457,257/2,11.0035504,76.9571277,0.023
GNSS_00458,257/2,11.0035341,76.9573204,0.031
GNSS_00459,257/2,11.0034869,76.9575092,0.045
GNSS_00460,257/2,11.0036084,76.9575116,0.02
GNSS_00461,257/2,11.0037506,76.957506,0.034
GNSS_00462,257/2,11.0037785,76.957323,0.018
GNSS_00463,257/2,11.0038196,76.9571497,0.024
GNSS_00464,257/2,11.0036929,76.9571365,0.043
GNSS_00465,258/3,11.0034869,76.9575092,0.032
GNSS_00466,258/3,11.0035075,76.9576364,0.029
GNSS_00467,258/3,11.003494,76.9577942,0.037
GNSS_00468,258/3,11.0036019,76.9577869,0.02
GNSS_00469,258/3,11.0037419,76.9577758,0.032
GNSS_00470,258/3,11.0037295,76.9576559,0.035
GNSS_00471,258/3,11.0037506,76.957506,0.025
GNSS_00472,258/3,11.0036084,76.9575116,0.026
GNSS_00473,259/4,11.003494,76.9577942,0.022
GNSS_00474,259/4,11.0035008,76.9579271,0.027
GNSS_00475,259/4,11.0035038,76.9580876,0.034
GNSS_00476,259/4,11.0036552,76.9581058,0.039
GNSS_00477,259/4,11.0037739,76.9580879,0.036
GNSS_00478,259/4,11.0037758,76.9579488,0.035
GNSS_00479,259/4,11.0037419,76.9577758,0.026
GNSS_00480,259/4,11.0036019,76.9577869,0.03
GNSS_00481,260/1,11.0037943,76.9519063,0.03
GNSS_00482,260/1,11.0037791,76.9520849,0.03
GNSS_00483,260/1,11.0037914,76.9522667,0.034
GNSS_00484,260/1,11.0039606,76.9522597,0.026
GNSS_00485,260/1,11.0041032,76.9522693,0.038
GNSS_00486,260/1,11.0040825,76.952105,0.038
GNSS_00487,260/1,11.0040659,76.9519106,0.021
GNSS_00488,260/1,11.00393,76.9519206,0.037
GNSS_00489,261/2,11.0037914,76.9522667,0.027
GNSS_00490,261/2,11.0037817,76.9523966,0.032
GNSS_00491,261/2,11.0037713,76.952509,0.04
GNSS_00492,261/2,11.0039212,76.9525133,0.025
GNSS_00493,261/2,11.0040805,76.9525138,0.028
GNSS_00494,261/2,11.0041025,76.9523732,0.038
GNSS_00495,261/2,11.0041032,76.9522693,0.042
GNSS_00496,261/2,11.0039606,76.9522597,0.038
GNSS_00497,262/3,11.0037713,76.952509,0.04
GNSS_00498,262/3,11.003763,76.952701,0.025
GNSS_00499,262/3,11.0037732,76.9528543,0.02
GNSS_00500,262/3,11.0039171,76.9528705,0.037
GNSS_00501,262/3,11.004032,76.9528589,0.034
