survey_no,subdivision_no,owner_ref,area,land_use,status
287,4,IND-TN-CBE-1087,783.6,Institutional,Active
288,1,IND-TN-CBE-1088,829.7,Mixed Use,Active
289,2,IND-TN-CBE-1089,1200.0,Industrial,Disputed
290,3,IND-TN-CBE-1090,747.3,Agricultural,Active
291,4,IND-TN-CBE-1091,985.1,Mixed Use,Active
292,1,IND-TN-CBE-1092,933.7,Residential,Active
293,2,IND-TN-CBE-1093,1010.5,Institutional,Active
294,3,IND-TN-CBE-1094,973.6,Institutional,Active
295,4,IND-TN-CBE-1095,1066.2,Mixed Use,Active
296,1,IND-TN-CBE-1096,829.1,Mixed Use,Active
297,2,IND-TN-CBE-1097,1005.7,Agricultural,Active
298,3,IND-TN-CBE-1098,1037.8,Institutional,Active
299,4,IND-TN-CBE-1099,967.8,Industrial,Active
300,1,IND-TN-CBE-1100,989.1,Commercial,Active
301,2,IND-TN-CBE-1101,1006.7,Industrial,Disputed
302,3,IND-TN-CBE-1102,1134.7,Residential,Active
303,4,IND-TN-CBE-1103,1035.0,Agricultural,Active
304,1,IND-TN-CBE-1104,967.7,Mixed Use,Active
305,2,IND-TN-CBE-1105,1026.4,Mixed Use,Active
306,3,IND-TN-CBE-1106,1116.1,Residential,Active
307,4,IND-TN-CBE-1107,733.2,Institutional,Active
308,1,IND-TN-CBE-1108,879.0,Agricultural,Active
309,2,IND-TN-CBE-1109,1209.7,Institutional,Active
310,3,IND-TN-CBE-1110,939.2,Commercial,Active
311,4,IND-TN-CBE-1111,1136.5,Industrial,Active
312,1,IND-TN-CBE-1112,1076.8,Mixed Use,Active
313,2,IND-TN-CBE-1113,1186.2,Industrial,Active
314,3,IND-TN-CBE-1114,948.4,Industrial,Active
315,4,IND-TN-CBE-1115,1193.8,Industrial,Active
316,1,IND-TN-CBE-1116,963.9,Industrial,Active
317,2,IND-TN-CBE-1117,1097.4,Commercial,Active
318,3,IND-TN-CBE-1118,1162.7,Mixed Use,Active
319,4,IND-TN-CBE-1119,1176.0,Commercial,Active
320,1,IND-TN-CBE-1120,1058.6,Mixed Use,Active
321,2,IND-TN-CBE-1121,945.7,Commercial,Active
322,3,IND-TN-CBE-1122,1179.5,Institutional,Active
323,4,IND-TN-CBE-1123,980.6,Agricultural,Active
324,1,IND-TN-CBE-1124,1066.2,Industrial,Active
325,2,IND-TN-CBE-1125,837.4,Commercial,Active
326,3,IND-TN-CBE-1126,944.1,Residential,Active
327,4,IND-TN-CBE-1127,1141.6,Industrial,Active
328,1,IND-TN-CBE-1128,1086.9,Agricultural,Active
329,2,IND-TN-CBE-1129,1081.8,Agricultural,Active
330,3,IND-TN-CBE-1130,867.8,Mixed Use,Active
331,4,IND-TN-CBE-1131,937.6,Residential,Active
332,1,IND-TN-CBE-1132,1049.4,Commercial,Active
333,2,IND-TN-CBE-1133,994.4,Mixed Use,Active
334,3,IND-TN-CBE-1134,853.5,Commercial,Active
335,4,IND-TN-CBE-1135,1366.1,Industrial,Active
336,1,IND-TN-CBE-1136,1106.6,Industrial,Active
337,2,IND-TN-CBE-1137,895.3,Agricultural,Active
338,3,IND-TN-CBE-1138,1044.1,Mixed Use,Active
339,4,IND-TN-CBE-1139,1041.5,Mixed Use,Active
340,1,IND-TN-CBE-1140,936.3,Institutional,Active
341,2,IND-TN-CBE-1141,965.1,Residential,Active
342,3,IND-TN-CBE-1142,998.8,Residential,Active
343,4,IND-TN-CBE-1143,930.2,Industrial,Active
344,1,IND-TN-CBE-1144,1071.5,Residential,Active
345,2,IND-TN-CBE-1145,924.5,Residential,Active
346,3,IND-TN-CBE-1146,989.5,Industrial,Active
347,4,IND-TN-CBE-1147,948.6,Mixed Use,Active
348,1,IND-TN-CBE-1148,750.5,Commercial,Active
349,2,IND-TN-CBE-1149,976.5,Agricultural,Active
350,3,IND-TN-CBE-1150,1288.4,Mixed Use,Active
351,4,IND-TN-CBE-1151,757.1,Residential,Active
352,1,IND-TN-CBE-1152,873.4,Institutional,Active
353,2,IND-TN-CBE-1153,1250.6,Institutional,Active
354,3,IND-TN-CBE-1154,818.1,Institutional,Active
355,4,IND-TN-CBE-1155,925.8,Mixed Use,Active
356,1,IND-TN-CBE-1156,958.0,Institutional,Active
357,2,IND-TN-CBE-1157,1229.8,Commercial,Active
358,3,IND-TN-CBE-1158,1092.3,Institutional,Active
359,4,IND-TN-CBE-1159,954.0,Residential,Active
360,1,IND-TN-CBE-1160,780.9,Institutional,Active
361,2,IND-TN-CBE-1161,1094.3,Residential,Active
362,3,IND-TN-CBE-1162,1372.8,Residential,Active
363,4,IND-TN-CBE-1163,945.7,Agricultural,Active
364,1,IND-TN-CBE-1164,695.6,Residential,Active
365,2,IND-TN-CBE-1165,1143.9,Industrial,Active
366,3,IND-TN-CBE-1166,1011.1,Industrial,Active
367,4,IND-TN-CBE-1167,1238.1,Commercial,Active
368,1,IND-TN-CBE-1168,1429.9,Agricultural,Active
369,2,IND-TN-CBE-1169,1075.2,Residential,Active
370,3,IND-TN-CBE-1170,984.6,Mixed Use,Active
371,4,IND-TN-CBE-1171,1189.8,Commercial,Active
372,1,IND-TN-CBE-1172,1193.9,Residential,Active
373,2,IND-TN-CBE-1173,1180.9,Residential,Active
374,3,IND-TN-CBE-1174,948.1,Industrial,Active
375,4,IND-TN-CBE-1175,1063.6,Mixed Use,Active
376,1,IND-TN-CBE-1176,895.4,Institutional,Active
377,2,IND-TN-CBE-1177,1148.1,Commercial,Active
378,3,IND-TN-CBE-1178,1027.9,Agricultural,Active
379,4,IND-TN-CBE-1179,874.0,Commercial,Active
380,1,IND-TN-CBE-1180,877.0,Industrial,Active
381,2,IND-TN-CBE-1181,1089.4,Mixed Use,Active
382,3,IND-TN-CBE-1182,1100.6,Residential,Active
383,4,IND-TN-CBE-1183,855.9,Commercial,Active
384,1,IND-TN-CBE-1184,1099.2,Agricultural,Active
385,2,IND-TN-CBE-1185,972.4,Industrial,Active
386,3,IND-TN-CBE-1186,759.4,Commercial,Active
387,4,IND-TN-CBE-1187,747.5,Mixed Use,Active
388,1,IND-TN-CBE-1188,723.9,Residential,Active
389,2,IND-TN-CBE-1189,940.5,Industrial,Active
390,3,IND-TN-CBE-1190,812.2,Mixed Use,Active
391,4,IND-TN-CBE-1191,1004.9,Industrial,Active
392,1,IND-TN-CBE-1192,943.4,Residential,Active
393,2,IND-TN-CBE-1193,1090.0,Residential,Active
394,3,IND-TN-CBE-1194,1381.4,Residential,Active
395,4,IND-TN-CBE-1195,1232.7,Commercial,Active
396,1,IND-TN-CBE-1196,719.0,Residential,Active
397,2,IND-TN-CBE-1197,1023.5,Residential,Active
398,3,IND-TN-CBE-1198,1147.6,Institutional,Active
399,4,IND-TN-CBE-1199,1077.7,Mixed Use,Active
400,1,IND-TN-CBE-1200,973.7,Agricultural,Active
401,2,IND-TN-CBE-1201,893.4,Industrial,Active
402,3,IND-TN-CBE-1202,1006.0,Commercial,Active
403,4,IND-TN-CBE-1203,899.5,Agricultural,Active
404,1,IND-TN-CBE-1204,1182.5,Residential,Active
405,2,IND-TN-CBE-1205,1190.3,Agricultural,Active
406,3,IND-TN-CBE-1206,1029.3,Institutional,Active
407,4,IND-TN-CBE-1207,1001.4,Industrial,Active
408,1,IND-TN-CBE-1208,987.6,Commercial,Active
409,2,IND-TN-CBE-1209,1254.6,Residential,Active
410,3,IND-TN-CBE-1210,939.8,Agricultural,Active
411,4,IND-TN-CBE-1211,1045.6,Agricultural,Active
412,1,IND-TN-CBE-1212,1111.8,Industrial,Active
413,2,IND-TN-CBE-1213,712.7,Mixed Use,Active
414,3,IND-TN-CBE-1214,1061.8,Industrial,Active
415,4,IND-TN-CBE-1215,1120.9,Residential,Active
416,1,IND-TN-CBE-1216,1056.4,Commercial,Active
417,2,IND-TN-CBE-1217,976.3,Industrial,Active
418,3,IND-TN-CBE-1218,910.5,Commercial,Active
419,4,IND-TN-CBE-1219,1091.7,Residential,Active
420,1,IND-TN-CBE-1220,1023.2,Institutional,Active
421,2,IND-TN-CBE-1221,830.0,Institutional,Active
422,3,IND-TN-CBE-1222,1065.3,Institutional,Active
423,4,IND-TN-CBE-1223,1043.6,Mixed Use,Active
424,1,IND-TN-CBE-1224,1024.2,Agricultural,Active
425,2,IND-TN-CBE-1225,886.6,Residential,Active
426,3,IND-TN-CBE-1226,791.9,Commercial,Active
427,4,IND-TN-CBE-1227,1171.6,Commercial,Active
428,1,IND-TN-CBE-1228,1181.7,Commercial,Active
429,2,IND-TN-CBE-1229,1010.0,Industrial,Active
430,3,IND-TN-CBE-1230,1200.8,Mixed Use,Active
431,4,IND-TN-CBE-1231,1185.6,Institutional,Active
432,1,IND-TN-CBE-1232,1281.2,Agricultural,Active
433,2,IND-TN-CBE-1233,1138.9,Residential,Active
434,3,IND-TN-CBE-1234,1140.9,Institutional,Active
435,4,IND-TN-CBE-1235,1112.9,Mixed Use,Active
436,1,IND-TN-CBE-1236,1123.2,Residential,Active
437,2,IND-TN-CBE-1237,956.5,Industrial,Active
438,3,IND-TN-CBE-1238,1093.3,Industrial,Active
439,4,IND-TN-CBE-1239,1143.7,Commercial,Active
440,1,IND-TN-CBE-1240,1189.2,Agricultural,Active
441,2,IND-TN-CBE-1241,919.2,Agricultural,Active
442,3,IND-TN-CBE-1242,761.2,Commercial,Active
443,4,IND-TN-CBE-1243,1026.9,Mixed Use,Active
444,1,IND-TN-CBE-1244,1122.7,Industrial,Active
445,2,IND-TN-CBE-1245,1075.5,Mixed Use,Active
446,3,IND-TN-CBE-1246,947.2,Institutional,Active
447,4,IND-TN-CBE-1247,796.0,Industrial,Active
448,1,IND-TN-CBE-1248,1018.6,Institutional,Active
449,2,IND-TN-CBE-1249,1016.6,Institutional,Active
450,3,IND-TN-CBE-1250,1089.8,Mixed Use,Active
451,4,IND-TN-CBE-1251,1066.6,Mixed Use,Active
452,1,IND-TN-CBE-1252,775.9,Agricultural,Active
453,2,IND-TN-CBE-1253,940.5,Mixed Use,Active
454,3,IND-TN-CBE-1254,1198.2,Industrial,Active
455,4,IND-TN-CBE-1255,1089.3,Industrial,Active
456,1,IND-TN-CBE-1256,1053.4,Institutional,Active
457,2,IND-TN-CBE-1257,915.9,Commercial,Active
458,3,IND-TN-CBE-1258,886.0,Commercial,Active
459,4,IND-TN-CBE-1259,929.6,Commercial,Active
460,1,IND-TN-CBE-1260,1080.2,Industrial,Active
461,2,IND-TN-CBE-1261,906.6,Industrial,Active
462,3,IND-TN-CBE-1262,729.2,Industrial,Active
463,4,IND-TN-CBE-1263,983.5,Residential,Active
464,1,IND-TN-CBE-1264,1042.4,Commercial,Active
465,2,IND-TN-CBE-1265,922.7,Mixed Use,Active
466,3,IND-TN-CBE-1266,1254.8,Institutional,Active
467,4,IND-TN-CBE-1267,1084.1,Commercial,Active
468,1,IND-TN-CBE-1268,1050.2,Agricultural,Active
469,2,IND-TN-CBE-1269,1098.3,Institutional,Active
470,3,IND-TN-CBE-1270,966.5,Agricultural,Active
471,4,IND-TN-CBE-1271,930.7,Industrial,Active
472,1,IND-TN-CBE-1272,888.2,Commercial,Active
473,2,IND-TN-CBE-1273,1205.4,Institutional,Active
474,3,IND-TN-CBE-1274,946.2,Mixed Use,Active
475,4,IND-TN-CBE-1275,1081.1,Residential,Active
476,1,IND-TN-CBE-1276,1115.3,Industrial,Active
477,2,IND-TN-CBE-1277,740.6,Residential,Active
478,3,IND-TN-CBE-1278,1146.9,Residential,Active
479,4,IND-TN-CBE-1279,1221.5,Agricultural,Active
480,1,IND-TN-CBE-1280,951.4,Commercial,Active
481,2,IND-TN-CBE-1281,1094.1,Agricultural,Active
482,3,IND-TN-CBE-1282,1185.0,Residential,Active
483,4,IND-TN-CBE-1283,1204.9,Residential,Active
484,1,IND-TN-CBE-1284,1079.2,Agricultural,Active
485,2,IND-TN-CBE-1285,951.9,Residential,Active
486,3,IND-TN-CBE-1286,1019.5,Industrial,Active
487,4,IND-TN-CBE-1287,1006.6,Commercial,Active
488,1,IND-TN-CBE-1288,1134.8,Residential,Active
489,2,IND-TN-CBE-1289,1212.4,Industrial,Active
490,3,IND-TN-CBE-1290,1076.0,Commercial,Active
491,4,IND-TN-CBE-1291,944.8,Institutional,Active
492,1,IND-TN-CBE-1292,1080.3,Institutional,Active
493,2,IND-TN-CBE-1293,1210.3,Industrial,Active
494,3,IND-TN-CBE-1294,996.8,Commercial,Active
495,4,IND-TN-CBE-1295,964.0,Institutional,Active
496,1,IND-TN-CBE-1296,819.6,Mixed Use,Active
497,2,IND-TN-CBE-1297,956.5,Agricultural,Active
498,3,IND-TN-CBE-1298,1118.1,Mixed Use,Active
499,4,IND-TN-CBE-1299,1059.7,Agricultural,Active
