point_id,survey_no,latitude,longitude,accuracy_m
GNSS_00097,216/1,18.5908517,73.7450116,0.031
GNSS_00098,216/1,18.5909997,73.7450216,0.034
GNSS_00099,216/1,18.5911565,73.7450146,0.028
GNSS_00100,216/1,18.5911702,73.7446509,0.019
GNSS_00101,217/2,18.5908528,73.7450794,0.021
GNSS_00102,217/2,18.5908534,73.7452663,0.024
GNSS_00103,217/2,18.5908539,73.7454342,0.037
GNSS_00104,217/2,18.5910034,73.7454246,0.026
GNSS_00105,217/2,18.5911569,73.7454428,0.034
GNSS_00106,217/2,18.5911659,73.7450857,0.031
GNSS_00107,218/3,18.5908463,73.7455068,0.034
GNSS_00108,218/3,18.5908454,73.7456863,0.044
GNSS_00109,218/3,18.5908442,73.7458742,0.04
GNSS_00110,218/3,18.5910069,73.7458935,0.026
GNSS_00111,218/3,18.5911483,73.7458736,0.028
GNSS_00112,218/3,18.5911514,73.7455138,0.026
GNSS_00113,219/4,18.59085,73.7459376,0.029
GNSS_00114,219/4,18.5908466,73.7461103,0.02
GNSS_00115,219/4,18.5908527,73.7462973,0.035
GNSS_00116,219/4,18.5909995,73.7462902,0.019
GNSS_00117,219/4,18.5911481,73.7462964,0.022
GNSS_00118,219/4,18.5911768,73.7459286,0.033
GNSS_00119,220/1,18.5912084,73.7378181,0.024
GNSS_00120,220/1,18.5912253,73.7380021,0.036
GNSS_00121,220/1,18.5912132,73.7381782,0.022
GNSS_00122,220/1,18.5913613,73.7381672,0.023
GNSS_00123,220/1,18.5915139,73.7381791,0.02
GNSS_00124,220/1,18.591522,73.7378117,0.018
GNSS_00125,221/2,18.5912036,73.738243,0.022
GNSS_00126,221/2,18.5911874,73.7384337,0.02
GNSS_00127,221/2,18.5912034,73.7386028,0.039
GNSS_00128,221/2,18.5913613,73.7386117,0.034
GNSS_00129,221/2,18.5915083,73.7386131,0.04
GNSS_00130,221/2,18.5914919,73.7382399,0.043
GNSS_00131,222/3,18.591207,73.738682,0.036
GNSS_00132,222/3,18.5912129,73.7388543,0.025
GNSS_00133,222/3,18.5912059,73.7390265,0.019
GNSS_00134,222/3,18.5913561,73.7390388,0.038
GNSS_00135,222/3,18.59152,73.7390274,0.031
GNSS_00136,222/3,18.5915212,73.7386801,0.036
GNSS_00137,223/4,18.5912007,73.7391011,0.027
GNSS_00138,223/4,18.5912142,73.7392789,0.044
GNSS_00139,223/4,18.5912124,73.7394651,0.029
GNSS_00140,223/4,18.5913629,73.7394622,0.032
GNSS_00141,223/4,18.5915197,73.7394582,0.045
GNSS_00142,223/4,18.5915185,73.7391069,0.036
GNSS_00143,224/1,18.5912069,73.7395307,0.018
GNSS_00144,224/1,18.5911973,73.7397078,0.029
GNSS_00145,224/1,18.5912013,73.739885,0.024
GNSS_00146,224/1,18.5913658,73.7398685,0.041
GNSS_00147,224/1,18.5915057,73.739889,0.021
GNSS_00148,224/1,18.5915181,73.7395308,0.044
GNSS_00149,225/2,18.5912035,73.7399558,0.039
GNSS_00150,225/2,18.5911949,73.7401421,0.029
GNSS_00151,225/2,18.5912077,73.7403118,0.043
GNSS_00152,225/2,18.5913664,73.7403143,0.032
GNSS_00153,225/2,18.5915187,73.7403166,0.04
GNSS_00154,225/2,18.5915173,73.7399623,0.026
GNSS_00155,226/3,18.5912061,73.7403895,0.031
GNSS_00156,226/3,18.5911847,73.740563,0.043
GNSS_00157,226/3,18.5912051,73.7407484,0.028
GNSS_00158,226/3,18.5913656,73.7407545,0.045
GNSS_00159,226/3,18.5915089,73.7407523,0.039
GNSS_00160,226/3,18.5915241,73.7403808,0.036
GNSS_00161,227/4,18.5912126,73.7408117,0.036
GNSS_00162,227/4,18.5912018,73.7409972,0.041
GNSS_00163,227/4,18.5912063,73.7411713,0.041
GNSS_00164,227/4,18.5913586,73.7411573,0.041
GNSS_00165,227/4,18.5915076,73.7411737,0.028
GNSS_00166,227/4,18.5915202,73.7408096,0.027
GNSS_00167,228/1,18.5912029,73.7412394,0.02
GNSS_00168,228/1,18.5911818,73.741421,0.028
GNSS_00169,228/1,18.5912007,73.7415932,0.03
GNSS_00170,228/1,18.5913639,73.7416063,0.025
GNSS_00171,228/1,18.5915068,73.7416018,0.029
GNSS_00172,228/1,18.5915113,73.7412313,0.036
GNSS_00173,229/2,18.591203,73.7416667,0.034
GNSS_00174,229/2,18.5912118,73.7418524,0.035
GNSS_00175,229/2,18.5912032,73.7420246,0.029
GNSS_00176,229/2,18.5913524,73.7420049,0.025
GNSS_00177,229/2,18.591519,73.7420308,0.041
GNSS_00178,229/2,18.591521,73.7416677,0.023
GNSS_00179,230/3,18.5912038,73.7420892,0.039
GNSS_00180,230/3,18.5911793,73.7422757,0.024
GNSS_00181,230/3,18.5912054,73.7424585,0.04
GNSS_00182,230/3,18.5913655,73.7424287,0.024
GNSS_00183,230/3,18.5915201,73.7424575,0.023
GNSS_00184,230/3,18.5915124,73.7420992,0.025
GNSS_00185,231/4,18.5912089,73.7425117,0.032
GNSS_00186,231/4,18.5911948,73.742691,0.025
GNSS_00187,231/4,18.5912049,73.7428713,0.022
GNSS_00188,231/4,18.5913662,73.7428799,0.043
GNSS_00189,231/4,18.5915116,73.7428766,0.043
GNSS_00190,231/4,18.5915042,73.7425136,0.044
GNSS_00191,232/1,18.5912015,73.7429545,0.036
GNSS_00192,232/1,18.5911969,73.743135,0.034
GNSS_00193,232/1,18.5912143,73.743311,0.04
GNSS_00194,232/1,18.5913646,73.7433092,0.043
GNSS_00195,232/1,18.5915173,73.7433045,0.021
GNSS_00196,232/1,18.5914996,73.7429374,0.024
GNSS_00197,233/2,18.5912092,73.7433754,0.028
GNSS_00198,233/2,18.5911965,73.7435562,0.044
GNSS_00199,233/2,18.5912092,73.7437378,0.037
GNSS_00200,233/2,18.591353,73.7437441,0.033
GNSS_00201,233/2,18.5915205,73.7437258,0.034
GNSS_00202,233/2,18.5915027,73.7433665,0.038
GNSS_00203,234/3,18.5912036,73.7438085,0.044
GNSS_00204,234/3,18.5911912,73.7439844,0.04
GNSS_00205,234/3,18.5912029,73.7441604,0.02
GNSS_00206,234/3,18.5913673,73.7441716,0.024
GNSS_00207,234/3,18.591519,73.744159,0.035
GNSS_00208,234/3,18.5915103,73.7438032,0.044
GNSS_00209,235/4,18.5912004,73.744229,0.023
GNSS_00210,235/4,18.5911851,73.744413,0.036
GNSS_00211,235/4,18.5912126,73.7445835,0.019
GNSS_00212,235/4,18.5913545,73.7445757,0.018
GNSS_00213,235/4,18.5915053,73.7445958,0.039
GNSS_00214,235/4,18.591494,73.7442343,0.024
GNSS_00215,236/1,18.591201,73.7446536,0.019
GNSS_00216,236/1,18.5912235,73.7448275,0.045
GNSS_00217,236/1,18.5912084,73.7450133,0.041
GNSS_00218,236/1,18.5913557,73.745006,0.03
GNSS_00219,236/1,18.5915164,73.7450179,0.021
GNSS_00220,236/1,18.5915019,73.7446624,0.037
GNSS_00221,237/2,18.5912035,73.7450744,0.037
GNSS_00222,237/2,18.5912224,73.745265,0.024
GNSS_00223,237/2,18.5912145,73.7454398,0.03
GNSS_00224,237/2,18.5913592,73.7454276,0.024
GNSS_00225,237/2,18.5915068,73.7454449,0.027
GNSS_00226,237/2,18.5915222,73.7450859,0.03
GNSS_00227,238/3,18.5912139,73.745505,0.033
GNSS_00228,238/3,18.5911917,73.7456932,0.036
GNSS_00229,238/3,18.5912006,73.7458628,0.029
GNSS_00230,238/3,18.5913637,73.7458619,0.042
GNSS_00231,238/3,18.5915072,73.7458679,0.043
GNSS_00232,238/3,18.5915131,73.7455015,0.029
GNSS_00233,239/4,18.5912071,73.7459295,0.036
GNSS_00234,239/4,18.5912224,73.7461108,0.033
GNSS_00235,239/4,18.5912047,73.7463037,0.034
GNSS_00236,239/4,18.591354,73.7462904,0.036
GNSS_00237,239/4,18.5915087,73.7462934,0.037
GNSS_00238,239/4,18.5915071,73.7459354,0.019
GNSS_00239,240/1,18.5915725,73.7378107,0.033
GNSS_00240,240/1,18.5915518,73.7380012,0.02
GNSS_00241,240/1,18.5915689,73.7381739,0.019
GNSS_00242,240/1,18.5917236,73.7381647,0.022
GNSS_00243,240/1,18.5918716,73.7381752,0.035
GNSS_00244,240/1,18.5918651,73.7378168,0.036
GNSS_00245,241/2,18.5915625,73.7382453,0.039
GNSS_00246,241/2,18.5915626,73.7384274,0.039
GNSS_00247,241/2,18.5915696,73.7386006,0.026
GNSS_00248,241/2,18.5917203,73.7386064,0.021
GNSS_00249,241/2,18.5918686,73.7386041,0.031
GNSS_00250,241/2,18.5918699,73.7382556,0.03
GNSS_00251,242/3,18.5915716,73.7386801,0.027
GNSS_00252,242/3,18.5915733,73.7388467,0.04
GNSS_00253,242/3,18.5915595,73.7390265,0.035
GNSS_00254,242/3,18.5917254,73.7390501,0.04
GNSS_00255,242/3,18.591874,73.7390362,0.043
GNSS_00256,242/3,18.5918716,73.7386778,0.02
GNSS_00257,243/4,18.591564,73.7390994,0.022
GNSS_00258,243/4,18.5915714,73.7392787,0.023
GNSS_00259,243/4,18.591567,73.739456,0.034
GNSS_00260,243/4,18.59172,73.7394584,0.039
GNSS_00261,243/4,18.5918705,73.7394693,0.036
GNSS_00262,243/4,18.5918786,73.7391054,0.023
GNSS_00263,244/1,18.5915734,73.7395276,0.026
GNSS_00264,244/1,18.5915647,73.73971,0.03
GNSS_00265,244/1,18.5915725,73.7398915,0.02
GNSS_00266,244/1,18.5917145,73.7399012,0.04
GNSS_00267,244/1,18.5918719,73.7398814,0.02
GNSS_00268,244/1,18.5918787,73.7395249,0.041
GNSS_00269,245/2,18.5915714,73.7399567,0.032
GNSS_00270,245/2,18.5915564,73.7401432,0.023
GNSS_00271,245/2,18.5915692,73.740322,0.025
GNSS_00272,245/2,18.5917195,73.7403135,0.03
GNSS_00273,245/2,18.5918661,73.7403101,0.03
GNSS_00274,245/2,18.5918776,73.7399485,0.032
GNSS_00275,246/3,18.5915696,73.7403879,0.036
GNSS_00276,246/3,18.5915705,73.7405552,0.043
GNSS_00277,246/3,18.5915643,73.7407407,0.026
GNSS_00278,246/3,18.5917181,73.7407606,0.036
GNSS_00279,246/3,18.5918782,73.7407392,0.036
GNSS_00280,246/3,18.5918703,73.7403913,0.021
GNSS_00281,247/4,18.5915717,73.7408154,0.031
GNSS_00282,247/4,18.5915477,73.7409936,0.024
GNSS_00283,247/4,18.5915697,73.7411752,0.022
GNSS_00284,247/4,18.5917221,73.7411641,0.02
GNSS_00285,247/4,18.5918707,73.7411695,0.041
GNSS_00286,247/4,18.5918635,73.7408076,0.021
GNSS_00287,248/1,18.591571,73.7412344,0.026
GNSS_00288,248/1,18.5915454,73.741411,0.038
GNSS_00289,248/1,18.591572,73.741592,0.03
GNSS_00290,248/1,18.5917246,73.7416175,0.032
GNSS_00291,248/1,18.5918719,73.7415921,0.026
GNSS_00292,248/1,18.5918589,73.7412357,0.04
GNSS_00293,249/2,18.591566,73.7416658,0.037
GNSS_00294,249/2,18.5915485,73.7418498,0.032
GNSS_00295,249/2,18.5915656,73.7420253,0.021
GNSS_00296,249/2,18.5917153,73.7420076,0.02
GNSS_00297,249/2,18.5918785,73.7420272,0.022
GNSS_00298,249/2,18.5918789,73.7416565,0.03
GNSS_00299,250/3,18.5915661,73.7420867,0.022
GNSS_00300,250/3,18.591571,73.7422694,0.026
GNSS_00301,250/3,18.5915669,73.7424445,0.04
GNSS_00302,250/3,18.5917274,73.7424454,0.037
GNSS_00303,250/3,18.5918656,73.7424503,0.022
GNSS_00304,250/3,18.5918941,73.7420995,0.037
GNSS_00305,251/4,18.5915615,73.7425138,0.032
GNSS_00306,251/4,18.5915589,73.7427073,0.035
GNSS_00307,251/4,18.5915711,73.7428783,0.034
GNSS_00308,251/4,18.5917141,73.7428904,0.037
GNSS_00309,251/4,18.591875,73.742875,0.026
GNSS_00310,251/4,18.5918488,73.7425212,0.018
GNSS_00311,252/1,18.5915741,73.7429387,0.027
GNSS_00312,252/1,18.5915745,73.7431188,0.038
GNSS_00313,252/1,18.5915744,73.7433071,0.035
GNSS_00314,252/1,18.5917182,73.7433047,0.039
GNSS_00315,252/1,18.5918749,73.7433064,0.038
GNSS_00316,252/1,18.591875,73.7429549,0.027
GNSS_00317,253/2,18.5915697,73.7433793,0.029
GNSS_00318,253/2,18.5915687,73.7435624,0.04
GNSS_00319,253/2,18.5915613,73.7437284,0.031
GNSS_00320,253/2,18.5917266,73.7437319,0.019
GNSS_00321,253/2,18.5918683,73.7437258,0.035
GNSS_00322,253/2,18.5918839,73.7433786,0.026
GNSS_00323,254/3,18.5915728,73.7437982,0.04
GNSS_00324,254/3,18.591552,73.7439854,0.033
GNSS_00325,254/3,18.5915741,73.7441593,0.027
GNSS_00326,254/3,18.5917198,73.7441549,0.02
GNSS_00327,254/3,18.5918731,73.744169,0.036
GNSS_00328,254/3,18.5918628,73.743806,0.026
GNSS_00329,255/4,18.5915704,73.7442269,0.041
GNSS_00330,255/4,18.5915544,73.7444156,0.036
GNSS_00331,255/4,18.591569,73.7445874,0.03
GNSS_00332,255/4,18.5917131,73.7445812,0.021
GNSS_00333,255/4,18.5918714,73.7445917,0.024
GNSS_00334,255/4,18.5918746,73.7442281,0.035
GNSS_00335,256/1,18.5915738,73.7446583,0.025
GNSS_00336,256/1,18.5915717,73.7448331,0.025
GNSS_00337,256/1,18.5915673,73.7450171,0.03
GNSS_00338,256/1,18.5917221,73.7450165,0.045
GNSS_00339,256/1,18.5918669,73.7450113,0.026
GNSS_00340,256/1,18.5918766,73.7446593,0.043
GNSS_00341,257/2,18.5915702,73.7450763,0.023
GNSS_00342,257/2,18.5915806,73.7452716,0.028
GNSS_00343,257/2,18.5915743,73.7454514,0.024
GNSS_00344,257/2,18.5917231,73.7454322,0.045
GNSS_00345,257/2,18.5918696,73.7454439,0.039
GNSS_00346,257/2,18.5918523,73.7450786,0.024
GNSS_00347,258/3,18.5915677,73.7455149,0.036
GNSS_00348,258/3,18.5915774,73.7456919,0.027
GNSS_00349,258/3,18.5915745,73.7458668,0.042
GNSS_00350,258/3,18.5917203,73.7458762,0.039
GNSS_00351,258/3,18.5918778,73.7458751,0.035
GNSS_00352,258/3,18.5918753,73.7455018,0.023
GNSS_00353,259/4,18.5915616,73.7459299,0.032
GNSS_00354,259/4,18.5915627,73.746111,0.032
GNSS_00355,259/4,18.5915645,73.7463012,0.023
GNSS_00356,259/4,18.5917259,73.746321,0.043
GNSS_00357,259/4,18.591869,73.7463037,0.022
GNSS_00358,259/4,18.5918576,73.7459391,0.036
GNSS_00359,260/1,18.5919324,73.7378113,0.025
GNSS_00360,260/1,18.5919111,73.7379924,0.04
GNSS_00361,260/1,18.5919232,73.7381853,0.029
GNSS_00362,260/1,18.5920809,73.738169,0.03
GNSS_00363,260/1,18.5922256,73.7381825,0.037
GNSS_00364,260/1,18.5922487,73.7378266,0.022
GNSS_00365,261/2,18.5919302,73.7382435,0.028
GNSS_00366,261/2,18.5919285,73.7384314,0.035
GNSS_00367,261/2,18.5919212,73.7386162,0.025
GNSS_00368,261/2,18.5920807,73.738594,0.041
GNSS_00369,261/2,18.5922322,73.7386043,0.022
GNSS_00370,261/2,18.5922327,73.7382426,0.027
GNSS_00371,262/3,18.5919263,73.738683,0.026
GNSS_00372,262/3,18.5919123,73.7388613,0.018
GNSS_00373,262/3,18.5919252,73.7390274,0.021
GNSS_00374,262/3,18.5920758,73.7390223,0.022
GNSS_00375,262/3,18.5922259,73.7390363,0.025
GNSS_00376,262/3,18.592222,73.7386701,0.028
GNSS_00377,263/4,18.5919276,73.7390958,0.038
GNSS_00378,263/4,18.5919284,73.7392739,0.023
GNSS_00379,263/4,18.5919234,73.7394668,0.032
GNSS_00380,263/4,18.5920825,73.7394671,0.032
GNSS_00381,263/4,18.59224,73.7394551,0.019
GNSS_00382,263/4,18.5922398,73.7390993,0.022
GNSS_00383,264/1,18.5919213,73.7395356,0.027
GNSS_00384,264/1,18.5919059,73.7397166,0.021
GNSS_00385,264/1,18.5919286,73.7398873,0.029
GNSS_00386,264/1,18.5920812,73.7398961,0.026
GNSS_00387,264/1,18.5922329,73.7398894,0.042
GNSS_00388,264/1,18.5922211,73.7395283,0.042
GNSS_00389,265/2,18.591931,73.7399608,0.019
GNSS_00390,265/2,18.591947,73.7401375,0.026
GNSS_00391,265/2,18.5919218,73.740318,0.022
GNSS_00392,265/2,18.5920816,73.7403178,0.037
GNSS_00393,265/2,18.5922274,73.7403226,0.029
GNSS_00394,265/2,18.5922424,73.7399589,0.039
GNSS_00395,266/3,18.5919223,73.7403764,0.025
GNSS_00396,266/3,18.591908,73.7405601,0.033
GNSS_00397,266/3,18.591924,73.7407441,0.024
GNSS_00398,266/3,18.5920861,73.7407467,0.044
GNSS_00399,266/3,18.5922305,73.7407408,0.026
GNSS_00400,266/3,18.5922204,73.7403878,0.026
GNSS_00401,267/4,18.5919335,73.7408112,0.043
GNSS_00402,267/4,18.5919105,73.7409945,0.036
GNSS_00403,267/4,18.5919275,73.7411722,0.038
GNSS_00404,267/4,18.5920782,73.7411776,0.024
GNSS_00405,267/4,18.5922369,73.7411681,0.04
GNSS_00406,267/4,18.592225,73.7408037,0.025
GNSS_00407,268/1,18.5919229,73.7412389,0.043
GNSS_00408,268/1,18.591914,73.7414208,0.042
GNSS_00409,268/1,18.59192,73.7416006,0.031
GNSS_00410,268/1,18.5920831,73.7415827,0.023
GNSS_00411,268/1,18.5922369,73.7415909,0.044
GNSS_00412,268/1,18.5922377,73.7412284,0.027
GNSS_00413,269/2,18.5919305,73.7416597,0.026
GNSS_00414,269/2,18.5919351,73.7418512,0.019
GNSS_00415,269/2,18.5919256,73.7420329,0.026
GNSS_00416,269/2,18.5920864,73.7420416,0.034
GNSS_00417,269/2,18.5922379,73.7420169,0.043
GNSS_00418,269/2,18.5922334,73.7416697,0.027
GNSS_00419,270/3,18.5919322,73.7420997,0.041
GNSS_00420,270/3,18.5918956,73.7422716,0.042
GNSS_00421,270/3,18.5919217,73.7424455,0.04
GNSS_00422,270/3,18.5920761,73.7424534,0.032
GNSS_00423,270/3,18.5922364,73.7424468,0.02
GNSS_00424,270/3,18.5922336,73.742097,0.036
GNSS_00425,271/4,18.591925,73.7425101,0.043
GNSS_00426,271/4,18.5918971,73.7426984,0.042
GNSS_00427,271/4,18.5919281,73.7428766,0.039
GNSS_00428,271/4,18.5920761,73.7428802,0.037
GNSS_00429,271/4,18.5922287,73.7428772,0.035
GNSS_00430,271/4,18.5922479,73.742522,0.043
GNSS_00431,272/1,18.5919306,73.7429399,0.037
GNSS_00432,272/1,18.5919159,73.7431285,0.02
GNSS_00433,272/1,18.5919264,73.7433078,0.033
GNSS_00434,272/1,18.5920823,73.7432969,0.02
GNSS_00435,272/1,18.5922289,73.7433019,0.033
GNSS_00436,272/1,18.5922253,73.7429508,0.032
GNSS_00437,273/2,18.5919296,73.7433723,0.025
GNSS_00438,273/2,18.5919205,73.7435577,0.018
GNSS_00439,273/2,18.591926,73.7437413,0.024
GNSS_00440,273/2,18.5920742,73.7437134,0.02
GNSS_00441,273/2,18.5922337,73.7437326,0.029
GNSS_00442,273/2,18.5922482,73.7433745,0.037
GNSS_00443,274/3,18.5919197,73.7438084,0.033
GNSS_00444,274/3,18.5919042,73.7439793,0.036
GNSS_00445,274/3,18.5919341,73.7441662,0.027
GNSS_00446,274/3,18.5920786,73.7441805,0.023
GNSS_00447,274/3,18.592231,73.7441703,0.033
GNSS_00448,274/3,18.5922235,73.7438073,0.032
GNSS_00449,275/4,18.5919263,73.7442364,0.043
GNSS_00450,275/4,18.5918996,73.7444121,0.042
GNSS_00451,275/4,18.5919227,73.7445864,0.024
GNSS_00452,275/4,18.5920745,73.7446006,0.02
GNSS_00453,275/4,18.5922385,73.744583,0.034
GNSS_00454,275/4,18.5922348,73.7442326,0.03
GNSS_00455,276/1,18.5919228,73.7446533,0.022
GNSS_00456,276/1,18.5919187,73.7448303,0.036
GNSS_00457,276/1,18.5919269,73.7450078,0.024
GNSS_00458,276/1,18.5920846,73.7449948,0.026
GNSS_00459,276/1,18.59223,73.74502,0.02
GNSS_00460,276/1,18.5922441,73.7446568,0.044
GNSS_00461,277/2,18.591934,73.7450822,0.04
GNSS_00462,277/2,18.5919064,73.7452706,0.043
GNSS_00463,277/2,18.591924,73.7454482,0.033
GNSS_00464,277/2,18.5920744,73.7454463,0.044
GNSS_00465,277/2,18.5922366,73.7454408,0.033
GNSS_00466,277/2,18.5922355,73.7450818,0.022
GNSS_00467,278/3,18.5919248,73.7455085,0.042
GNSS_00468,278/3,18.5919384,73.7456905,0.026
GNSS_00469,278/3,18.5919249,73.7458621,0.043
GNSS_00470,278/3,18.5920727,73.7458657,0.024
GNSS_00471,278/3,18.5922374,73.7458625,0.023
GNSS_00472,278/3,18.5922202,73.745511,0.038
GNSS_00473,279/4,18.5919223,73.7459386,0.041
GNSS_00474,279/4,18.5919006,73.7461245,0.043
GNSS_00475,279/4,18.591925,73.7463024,0.028
GNSS_00476,279/4,18.5920776,73.7462972,0.029
GNSS_00477,279/4,18.592233,73.7462931,0.033
GNSS_00478,279/4,18.5922174,73.7459366,0.024
GNSS_00479,280/1,18.5922836,73.7378236,0.038
GNSS_00480,280/1,18.5922999,73.7379945,0.028
GNSS_00481,280/1,18.5922829,73.7381816,0.022
GNSS_00482,280/1,18.5924465,73.7381833,0.033
GNSS_00483,280/1,18.5925967,73.7381774,0.023
GNSS_00484,280/1,18.5925991,73.7378194,0.042
GNSS_00485,281/2,18.5922916,73.7382392,0.036
GNSS_00486,281/2,18.5922541,73.7384191,0.018
GNSS_00487,281/2,18.5922887,73.7386011,0.032
GNSS_00488,281/2,18.5924344,73.7386007,0.029
GNSS_00489,281/2,18.592592,73.7386025,0.018
GNSS_00490,281/2,18.592607,73.7382389,0.037
GNSS_00491,282/3,18.5922914,73.7386772,0.045
GNSS_00492,282/3,18.5922548,73.7388618,0.024
GNSS_00493,282/3,18.5922814,73.7390275,0.036
GNSS_00494,282/3,18.5924401,73.7390109,0.041
GNSS_00495,282/3,18.5925891,73.7390405,0.036
GNSS_00496,282/3,18.592602,73.7386722,0.041
GNSS_00497,283/4,18.5922792,73.7390933,0.031
GNSS_00498,283/4,18.5923005,73.7392757,0.019
GNSS_00499,283/4,18.5922911,73.7394608,0.02
GNSS_00500,283/4,18.5924452,73.7394586,0.043
GNSS_00501,283/4,18.5925931,73.7394547,0.042
